person_id,rownum,binary_choice,price_to_inc,range,acceleration,top_speed,pollution,size,big_enough,luggage_space,operating_cost,station_availability,suv,sports_car,station_wagon,truck,van,ev,commute_x_ev,college_x_ev,cng,methanol,college_x_methanol,not_ev,not_cng,j,y
0,1,1,4.1753447999999995,250,4.0,95,0.6,3,0,0.7,4,0.1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
0,2,0,4.1753447999999995,250,4.0,95,0.6,3,0,0.7,4,0.1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
0,3,0,4.8177056,400,6.0,110,0.25,2,0,1.0,6,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0
0,4,0,4.8177056,400,6.0,110,0.25,2,0,1.0,6,0.3,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0
0,5,0,5.1388859,250,2.5,140,0.5,3,0,1.0,8,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0
0,6,0,5.1388859,250,2.5,140,0.5,3,0,1.0,8,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
1,7,0,3.3109468,125,2.5,85,0.0,3,1,0.7,4,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1,8,1,3.3109468,125,2.5,85,0.0,3,1,0.7,4,0.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,9,0,3.5868589999999996,300,4.0,140,0.4,3,1,1.0,8,0.1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
1,10,0,3.5868589999999996,300,4.0,140,0.4,3,1,1.0,8,0.1,0,0,1,0,0,0,0,0,1,0,0,1,1,3,1
1,11,0,4.4145957000000005,300,6.0,95,0.25,2,0,1.0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
1,12,0,4.4145957000000005,300,6.0,95,0.25,2,0,1.0,4,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1
2,13,0,4.0395745000000005,300,6.0,140,0.1,2,0,1.0,6,0.1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4
2,14,0,4.0395745000000005,300,6.0,140,0.1,2,0,1.0,6,0.1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,4
2,15,0,2.7772075000000003,250,2.5,85,0.4,3,1,1.0,8,0.3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4
2,16,0,2.7772075000000003,250,2.5,85,0.4,3,1,1.0,8,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,3,4
2,17,1,3.2821542999999997,300,4.0,95,0.75,3,1,1.0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
2,18,0,3.2821542999999997,300,4.0,95,0.75,3,1,1.0,2,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,4
3,19,0,7.0659681,200,4.0,100,0.0,2,0,1.0,8,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4
3,20,0,7.0659681,200,4.0,100,0.0,2,0,1.0,8,0.0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4
3,21,0,7.3871485,75,6.0,85,0.25,3,0,0.7,2,0.7,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4
3,22,0,7.3871485,75,6.0,85,0.25,3,0,0.7,2,0.7,0,0,0,0,1,0,0,0,1,0,0,1,1,3,4
3,23,1,5.4600663,300,2.5,95,0.6,3,0,1.0,4,0.1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4
3,24,0,5.4600663,300,2.5,95,0.6,3,0,1.0,4,0.1,0,0,1,0,0,0,0,0,0,1,0,1,0,5,4
4,25,0,5.7941569,75,4.0,85,0.1,1,0,0.7,6,0.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4
4,26,0,5.7941569,75,4.0,85,0.1,1,0,0.7,6,0.3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,4
4,27,0,6.3459814,300,6.0,95,0.4,2,0,1.0,8,0.7,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4
4,28,0,6.3459814,300,6.0,95,0.4,2,0,1.0,8,0.7,0,0,0,0,1,0,0,0,0,1,0,1,0,3,4
4,29,1,4.690508,350,2.5,110,0.75,3,1,1.0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
4,30,0,4.690508,350,2.5,110,0.75,3,1,1.0,2,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,4
5,31,0,3.5329841,300,6.0,85,0.6,3,0,1.0,6,0.1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,4
5,32,0,3.5329841,300,6.0,85,0.6,3,0,1.0,6,0.1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4
5,33,0,4.1753447999999995,250,2.5,95,0.25,2,0,1.0,8,0.3,0,0,0,1,0,0,0,0,0,1,0,1,0,2,4
5,34,0,4.1753447999999995,250,2.5,95,0.25,2,0,1.0,8,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,3,4
5,35,1,4.8177056,300,4.0,110,0.5,3,0,1.0,2,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,4
5,36,0,4.8177056,300,4.0,110,0.5,3,0,1.0,2,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,4
6,37,0,1.9270822,125,6.0,100,0.0,2,0,1.0,8,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
6,38,1,1.9270822,125,6.0,100,0.0,2,0,1.0,8,0.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
6,39,0,0.96354111,300,2.5,85,0.25,3,1,0.7,4,0.7,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
6,40,0,0.96354111,300,2.5,85,0.25,3,1,0.7,4,0.7,0,0,1,0,0,0,0,0,1,0,0,1,1,3,1
6,41,0,1.4453117,300,4.0,110,1.0,3,1,1.0,8,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
6,42,0,1.4453117,300,4.0,110,1.0,3,1,1.0,8,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1
7,43,0,6.0700690999999996,125,6.0,85,0.0,3,0,1.0,1,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,4
7,44,0,6.0700690999999996,125,6.0,85,0.0,3,0,1.0,1,0.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4
7,45,0,6.3459814,300,2.5,140,0.4,3,0,0.7,4,0.7,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4
7,46,0,6.3459814,300,2.5,140,0.4,3,0,0.7,4,0.7,0,0,1,0,0,0,0,0,1,0,0,1,1,3,4
7,47,1,5.2423324000000004,300,4.0,95,0.25,2,0,1.0,8,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
7,48,0,5.2423324000000004,300,4.0,95,0.25,2,0,1.0,8,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,4
8,49,0,3.0674666,125,2.5,65,0.0,3,0,0.7,4,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4
8,50,0,3.0674666,125,2.5,65,0.0,3,0,0.7,4,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,4
8,51,0,3.8343333,250,4.0,140,0.75,3,0,1.0,4,0.3,1,0,0,0,0,0,0,0,0,1,0,1,0,2,4
8,52,0,3.8343333,250,4.0,140,0.75,3,0,1.0,4,0.3,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4
8,53,1,4.0899555,300,6.0,85,0.25,2,0,1.0,6,1.0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,4
8,54,0,4.0899555,300,6.0,85,0.25,2,0,1.0,6,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,4
9,55,0,3.8017382000000004,200,4.0,85,0.0,2,0,1.0,2,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
9,56,1,3.8017382000000004,200,4.0,85,0.0,2,0,1.0,2,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
9,57,0,2.4599482000000004,75,6.0,140,0.4,3,0,0.7,2,0.7,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
9,58,0,2.4599482000000004,75,6.0,140,0.4,3,0,0.7,2,0.7,0,0,0,0,1,0,0,0,1,0,0,1,1,3,1
9,59,0,2.9072116,300,2.5,85,0.75,1,0,1.0,4,0.1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1
9,60,0,2.9072116,300,2.5,85,0.75,1,0,1.0,4,0.1,0,0,1,0,0,0,0,0,0,1,1,1,0,5,1
10,61,1,4.1386835,200,4.0,55,0.0,3,0,1.0,2,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
10,62,0,4.1386835,200,4.0,55,0.0,3,0,1.0,2,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
10,63,0,4.4145957000000005,75,6.0,95,0.1,1,0,1.0,4,0.7,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0
10,64,0,4.4145957000000005,75,6.0,95,0.1,1,0,1.0,4,0.7,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0
10,65,0,3.0350346,300,2.5,110,0.4,2,0,1.0,6,0.1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0
10,66,0,3.0350346,300,2.5,110,0.4,2,0,1.0,6,0.1,0,0,1,0,0,0,0,0,0,1,1,1,0,5,0
11,67,0,3.3237360000000002,125,4.0,85,0.0,3,1,1.0,2,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
11,68,1,3.3237360000000002,125,4.0,85,0.0,3,1,1.0,2,0.0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1
11,69,0,3.7985553999999997,250,6.0,85,0.25,1,0,1.0,8,0.7,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1
11,70,0,3.7985553999999997,250,6.0,85,0.25,1,0,1.0,8,0.7,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1
11,71,0,2.6115068,300,2.5,95,0.5,2,0,1.0,2,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1
11,72,0,2.6115068,300,2.5,95,0.5,2,0,1.0,2,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1
12,73,0,5.4600663,200,4.0,85,0.0,0,0,1.0,8,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,4
12,74,0,5.4600663,200,4.0,85,0.0,0,0,1.0,8,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,4
12,75,0,6.102427,75,6.0,140,0.25,1,0,1.0,4,0.1,0,1,0,0,0,0,0,0,1,0,0,1,1,2,4
12,76,0,6.102427,75,6.0,140,0.25,1,0,1.0,4,0.1,1,0,0,0,0,0,0,0,1,0,0,1,1,3,4
12,77,1,7.3871485,350,2.5,95,1.0,2,0,1.0,8,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,4
12,78,0,7.3871485,350,2.5,95,1.0,2,0,1.0,8,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4
13,79,0,1.2847215,200,2.5,85,0.0,2,0,0.7,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
13,80,0,1.2847215,200,2.5,85,0.0,2,0,0.7,1,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,4
13,81,0,1.6059018999999999,300,4.0,85,0.4,3,0,1.0,2,0.7,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4
13,82,0,1.6059018999999999,300,4.0,85,0.4,3,0,1.0,2,0.7,0,0,0,1,0,0,0,0,0,1,0,1,0,3,4
13,83,1,0.96354111,350,6.0,95,0.75,3,0,1.0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
13,84,0,0.96354111,350,6.0,95,0.75,3,0,1.0,4,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,4
14,85,0,4.690508,200,4.0,65,0.0,1,0,1.0,1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2
14,86,0,4.690508,200,4.0,65,0.0,1,0,1.0,1,0.0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,2
14,87,1,3.5868589999999996,300,6.0,140,0.6,2,0,1.0,4,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2
14,88,0,3.5868589999999996,300,6.0,140,0.6,2,0,1.0,4,0.3,0,0,0,1,0,0,0,0,0,1,1,1,0,3,2
14,89,0,4.1386835,350,2.5,85,1.0,3,0,1.0,6,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2
14,90,0,4.1386835,350,2.5,85,1.0,3,0,1.0,6,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,2
15,91,0,1.9313856,75,6.0,100,0.0,3,0,1.0,8,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,5
15,92,0,1.9313856,75,6.0,100,0.0,3,0,1.0,8,0.0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,5
15,93,0,1.9313856,250,2.5,85,0.1,1,0,1.0,8,0.1,0,0,0,1,0,0,0,0,1,0,0,1,1,2,5
